KEY,English,Spanish

GLYPH_TEST, "∂ ∏ ∑ ≥ μ π"
Q_HLT_LOSE,"[i]A web of oily flesh pulls you in every direction and innumerable teeth begin to tear at your armor and flesh. There is a great rumble as the decaying structure finally crumbles entirely into the river. The tentacles release you as chaos ensues and you barely manage to swim free.[/i]\n\nYour quest has failed."
Q_HLT_WIN,"[i]Scooping up the last bits of treasure into your bags, you bolt for the exit, hacking your way through the few remaining limbs that try to impede you.[/i]\n\nYou win!"


//Quest: The Goblin Who Would be King
Q_GWWBK_MAP,"[u]The Goblin Who Would be King[/u]\n\n[i]Unconvinced that the threat has passed, or perhaps exploiting the opportunity for all it is worth, Splig has summoned the goblin tribes from far and wide to rally against the supposed ""end of all goblins.""[/i]\n\nThis is the finale. The outcome of this quest determines the outcome of your campaign."
Q_GWWBK_INFO,"[i]Unconvinced that the threat has passed, or perhaps exploiting the opportunity for all it is worth, Splig has summoned the goblin tribes from far and wide to rally against the supposed ""end of all goblins."" What better time to unite the goblins under the protection of a common leader? A king such as himself! This unification is no longer about self preservation—it is only a matter of time before the horde begins to pillage the surrounding villages.[/i]"
Q_GWWBK_SETUP_1,"[i]High upon a hill, an ancient fortress is alive with the ruckus of the goblin tribes. Dozens of banners have been shoddily hoisted into the air, marking out the various camps. The larger banners are closer to the fortress; as it is with all things goblin, the bigger, the better. You infiltrate deep into the camp when at last you are spotted, thanks to the endless party that rages around you.[/i]"
Q_GWWBK_SETUP_2,"[i]Many of the tribes flee at the first sign of conflict, but those closest to the fortress stand their ground. These are the largest and oldest tribes—tribes that, if united, could lay waste to the baronies of Terrinoth. As battle horns sound all around you, you sprint for the fortress, intent on disrupting Splig's scheme.[/i]"
Q_GWWBK_ALL_TILES,"Set aside tiles 1, 3, 4, 7, 8, 9, 12, 16, and 25."
Q_GWWBK_OBJECTIVE_1,"Assault the fortress and locate Splig."
Q_GWWBK_OBJECTIVE_2,"Defeat the goblin tribes that are guarding Splig."
Q_GWWBK_OBJECTIVE_3,"Defeat Splig."
Q_GWWBK_APPROACH,"Place 8A, 9A, 16B, 1 transition, 1 Entrance, 1 end cap, 2 doors, and 1 locked door. Place the heroes on the Entrance.\n\nHeroes cannot open the locked door."
Q_GWWBK_SWAMP,"Place 21A and 1 end cap."
Q_GWWBK_FIRE,"Place 12B and 1 door."
Q_GWWBK_FIRE_LAST,"Place 12B."
Q_GWWBK_ICE,"Place 7B, 25B, and 1 door."
Q_GWWBK_ICE_LAST,"Place 21B and 25B."
Q_GWWBK_DEEP,"Place 4B, 1 extender, and 1 door."
Q_GWWBK_DEEP_LAST,"Place 4B and 1 extender."
Q_GWWBK_CASTLE,"Place 3B, 1 end cap, and 1 door."
Q_GWWBK_CASTLE_LAST,"Place 3B and 1 end cap."
Q_GWWBK_PLACE_GOBLINS,"Place Goblin Archers as shown."
Q_GWWBK_FINALE,"Place 1B and 1 door."
Q_GWWBK_FINALE_LAST,"Place 1B."
Q_GWWBK_PLAIN_PLACEMENT,"Place the {0} group on 9A."
Q_GWWBK_FIRE_PLACEMENT,"Place the {0} group on 12B."
Q_GWWBK_ICE_PLACEMENT,"Place the {0} group on 7B."
Q_GWWBK_CAVE_PLACEMENT,"Place the {0} group on 4B."
Q_GWWBK_CASTLE_PLACEMENT,"Place the {0} group on 3B."
Q_GWWBK_FINALE_PLACEMENT,"Place the {0} group on 1B."
Q_GWWBK_SETUP_3,"[i]Splig, the king of all goblins, sits upon his throne, an enormous pile of stones with the largest boulder on top. ""So you're the cause of this disruption,"" he calls out, ""I should have guessed. "" He adjusts himself on the boulder, trying to get comfortable. Under his great weight, the entire pile shifts, bringing him a few inches lower. He doesn't seem to notice.[/i]"
Q_GWWBK_VALADIR,"Sir Valadir slowly raises his hand to his head and squints to see Splig's helmet clearly. ""Hey, isn't that…"" he mutters, but Splig cuts him off."
Q_GWWBK_SETUP_4,"[i]""I'd tell you to leave, but the time has come for the kingdom of all goblins to take a stand against the injustices imposed by your kind."" He stands, causing his dais to resettle another few inches lower. ""From this hour forth, let it be known that the end of all goblins is no more—a new age has dawned. The rise of all goblins is now!"" he bellows, deftly leaping upon his throne for effect. His subjects roar their approval and brandish their weapons."
Q_GWWBK_SETUP_5,"[i]But the boulder is no longer stable, and Splig, king of all goblins, topples forward and down. He neither bounces nor rolls as he descends the tower of stones, but manages something closer to a sloshing tumble. Inexplicably, he lands on his feet. ""Well?"" he screams as he regains his balance, ""Kill them!""[/i]"
Q_GWWBK_SETUP_6,"Place Splig as shown."
Q_GWWBK_SEARCH_1,"[i]A half-opened barrel.[/i]"
Q_GWWBK_SEARCH_2,"[i]A mound of soggy weeds.[/i]"
Q_GWWBK_SEARCH_3,"[i]A leather bag hanging above the lava.[/i]"
Q_GWWBK_SEARCH_3_TRAP,"[i]Reaching for the bag, you notice a small inscription sewn into the bottom: ""Jama…"" but you suddenly slip and lose your balance![/i]\n\nTest μ."
Q_GWWBK_SEARCH_3_TRAP_FAIL,"[i]You stumble forward into the searing liquid![/i]\n\nRemove your figure from the map and place it in the space containing this search token. Then discard this search token and draw a Search card."
Q_GWWBK_SEARCH_3_TRAP_PASS,"[i]You catch yourself, but are forced to drop the bag. Acting quickly, you peel the contents from the flames before they too are lost to the bubbling inferno.[/i]Discard this search token and draw a Search card."
Q_GWWBK_SEARCH_4,"[i]A Halfling, frozen for ages, clasps a treasure in her hand.[/i]"
Q_GWWBK_SEARCH_4_TRAP,"[i]You pry the small box from the frozen fingers, but as you loose the lid, silver text winds across the surface: V A Y D…\n\nYou must speak the owner's name before the script is finished![/i]\n\nTest ∑."
Q_GWWBK_SEARCH_4_TRAP_PASS,"[i]You whisper the first name that comes to mind and the silver script dissipates harmlessly into the air.[/i]\n\nDiscard this token and draw a Search card."
Q_GWWBK_SEARCH_4_TRAP_FAIL,"Your lungs struggle for air as every hint of warmth is wrung from the air around you. The sudden cold is bitter, painful, and unforgiving.[/i]\n\nEach hero within 3 spaces of you is Immobilized and suffers 2 ≥. Then discard this token and draw a Search card."
Q_GWWBK_SEARCH_5,"[i]Splig dropped something when he fell.[/i]"
Q_GWWBK_SEARCH_6,"[i]A large pile of worthless gifts for the new king.[/i]"
Q_GWWBK_SPLIG_PROTECTION,"Each time Splig suffers 1 or more ≥, the master Goblin Archer suffers 1 ≥ instead."
Q_GWWBK_SPLIG_UNPROTECTED,"[i]The last of the tribal leaders sinks to the ground. All around you is a sea of goblin corpses. ""No matter,"" Splig pants, hefting his club to his shoulder , ""I don't need them anyway. I am king now—"" he bounds toward you with impossible speed, ""—king of all goblins!""[/i]\n\nRemove all Goblin Archers from the map.\n\nSplig is no longer protected by the Goblin Archers and can suffer ≥."
Q_GWWBK_SPLIG_NO_HELP,"[i]""To me, my brethren,"" Splig announces, ""The trap is sprung!"" His command rings hollow as it echoes through the hall. His few remaining servants leap to his side, but not a single goblin answers. You toss the torn and bloody banners at his feet. He takes a step back, growing pale. ""Very well, just you and me then… prepare yourselves, oppressors of all goblins!""[/i]"
DOOR_BANNER_CONFIRM,"You can open this door with an ""Open Door"" action. However, if you leave now, the goblins will claim this banner."
DOOR_BANNER_REMOVE,"[i]The goblins swipe their banner from its place and retreat deeper into the fortress, celebrating all the way.[/i]\n\nDiscard the banner and remove all Goblin Archers from the map."
Q_GWWBK_PLACE_BANNER,"Place 1 objective token facedown as shown. This is a banner.\n\nAs an action, an adjacent hero may test ∂ or π to claim this banner; add ≤ to the results equal to the number of Goblin Archers on the map."

Q_GWWBK_BANNER_1,"[i]This is the banner of the Til Kahrik tribe, goblins of the Kanzi Plains.[/i]\n\nAs an action, an adjacent hero may test ∂ or π to claim this banner; add ≤ to the results equal to the number of Goblin Archers on the map."
Q_GWWBK_TRIBE_1,"[i]The Til Kahrik tribe fires a spray of arrows, then sprints away as you press into the room.[/i]\n\nPlace the Goblin Archer group on 1B.\n\nWhile the master Goblin Archer is on the map, apply +3 Speed to each Goblin Archer."
Q_GWWBK_LEADER_1,"Til Kahrik Leader"
Q_GWWBK_RULE_1,"Apply +3 Speed to each Goblin Archer."

Q_GWWBK_BANNER_2,"[i]This is the banner of the Garldul tribe, goblins of the Mackery Swamps.[/i]\n\nAs an action, an adjacent hero may test ∂ or π to claim this banner; add ≤ to the results equal to the number of Goblin Archers on the map."
Q_GWWBK_TRIBE_2,"[i]The Garldul tribe slinks from the shadows, leaving a smear of green scum in their wake. [/i]\n\nPlace the Goblin Archer group on 1B. Each hero tests μ. Each hero who fails is Poisoned.\n\n Poisoned heroes cannot attack the master Goblin Archer."
Q_GWWBK_TRIBE_2_ENDRND,"[i]The Garldul goblins reach into their pouches and fling handfuls of thorns at you.[/i]\n\nEach hero within 3 spaces of 1 or more Goblin Archers tests μ. Each hero who fails is Poisoned."
Q_GWWBK_LEADER_2,"Garldul Leader"
Q_GWWBK_RULE_2,"Poisoned heroes cannot attack the master Goblin Archer."

Q_GWWBK_BANNER_3,"[i]This is the banner of the Shalla Drazar tribe, goblins of the Burningstone Mountains.[/i]\n\nAs an action, an adjacent hero may test ∂ or π to claim this banner; add ≤ to the results equal to the number of Goblin Archers on the map."
Q_GWWBK_TRIBE_3,"[i]The Shalla Drazar tribe bursts into the room with a blast of feral shrieks and fiery arrows.[/i]\n\nPlace the Goblin Archer group on 1B.\n\nEach time a hero resolves a Melee attack that targets the master Goblin Archer, that hero tests ∑. If he fails, he suffers 3 ≥."
Q_GWWBK_TRIBE_3_ENDRND,"[i]You aren't sure how, but the skin of the Shalla Drazar goblins emits searing heat that burns anyone nearby.[/i]\n\nEach hero suffers 1 ≥ for each adjacent Goblin Archer."
Q_GWWBK_RULE_3,"Each time a hero resolves a Melee attack that targets the master Goblin Archer, that hero tests ∑. If he fails, he suffers 3 ≥."
Q_GWWBK_LEADER_3,"Shalla Drazar Leader"
Q_GWWBK_TRIBE_3_LOTW,"[i]The Shalla Drazar tribe bursts into the room with a blast of feral shrieks and fiery arrows.[/i]\n\nPlace the Goblin Archer group on 1B.\n\nEach time a hero resolves a Melee attack that targets the master Goblin Archer, that hero tests ∑. If he fails, he is Burning and suffers 1 ≥."
Q_GWWBK_LEADER_3_LOTW,"Each time a hero resolves a Melee attack that targets the master Goblin Archer, that hero tests ∑. If he fails, he is Burning and suffers 1 ≥."


Q_GWWBK_BANNER_4,"[i]This is the banner of the Kol Akek tribe, goblins of the Frozen Spires.[/i]\n\nAs an action, an adjacent hero may test ∂ or π to claim this banner; add ≤ to the results equal to the number of Goblin Archers on the map."
Q_GWWBK_TRIBE_4,"[i]The Kol Akek tribe struts into the chamber with cool arrogance. They sneer at the sight of you, unimpressed by the threat you pose.[/i]\n\nPlace the Goblin Archer group on 1B.\n\nEach time a hero suffers ≥ during the master Goblin Archer's attacks, that hero is Immobilized."
Q_GWWBK_RULE_4,"Each time a hero suffers ≥ during the master Goblin Archer's attacks, that hero is Immobilized."
Q_GWWBK_LEADER_4,"Kol Akek Leader"

Q_GWWBK_BANNER_5,"[i]This is the banner of the Hann tribe, goblins of the Isarki Ruins.[/i]\n\nAs an action, an adjacent hero may test ∂ or π to claim this banner; add ≤ to the results equal to the number of Goblin Archers on the map."
Q_GWWBK_TRIBE_5,"[i]The Hann tribe marches into the room, clad in full plate armor and displaying unmatched discipline (at least for goblins).[/i]\n\nPlace the Goblin Archer group on 1B.\n\nWhile the master Goblin Archer is on the map, add 1 black die to each Goblin Archer's defense pool."
Q_GWWBK_RULE_5,"Add 1 black die to each Goblin Archer's defense pool."
Q_GWWBK_LEADER_5,"Hann Leader"

Q_GWWBK_BANNER_6,"[i]This is the banner of the Yylmch Zar tribe, goblins of the Everdark.[/i]\n\nAs an action, an adjacent hero may test ∂ or π to claim this banner; add ≤ to the results equal to the number of Goblin Archers on the map."
Q_GWWBK_TRIBE_6,"[i]The Yylmch Zar tribe materializes from the shadows, clad in robes that cast shadows in every direction.[/i]\n\nPlace the Goblin Archer group on 1B.\n\nWhile the master Goblin Archer is on the map, each attack that targets a Goblin Archer must roll 3 additional range beyond the normally required amount or the attack is a miss."
Q_GWWBK_RULE_6,"Each attack that targets a Goblin Archer must roll 3 additional range beyond the normally required amount or the attack is a miss."
Q_GWWBK_LEADER_6,"Yylmch Zar Leader."

Q_GWWBK_LEADER_DEAD,"[i]Their leader slain, the remnants of the tribe flee from the room.[/i]\n\nRemove all Goblin Archers from the map."
Q_GWWBK_BANNER_REINFORCE,"Place 1 Goblin Archer adjacent to the banner."
Q_GWWBK_BANNER_FAIL_1,"[i]A group of elderly goblins lounging at a safe distance laughs at your misfortune.[/i]\n\nSuffer 1 ∏."
Q_GWWBK_BANNER_FAIL_2,"[i]Inspired by your failure, a scrawny goblin leaps from his hiding place and hurls a stone at you![/i]\n\nSuffer 1 ≥."
Q_GWWBK_BANNER_FAIL_3,"[i]A rotund, bumbling goblin chuckles as you attempt to claim the banner. He shoves you away and dances a mocking jig.[/i]\n\nMove 3 spaces away from this token."
Q_GWWBK_BANNER_PASS,"[i]The goblins shriek and flee at your success.[/i]\n\nDiscard this token and remove the Goblin Archers from the map."
Q_GWWBK_BANNER_CHECK,"If you leave now, the goblins will claim this banner."
Q_GWWBK_BANNER_GOBLINS,"[i]Emboldened by your defeat, the goblins swipe their banner from its place and retreat deeper into the fortress, celebrating all the way.[/i]\n\nDiscard this token and remove the Goblin Archers from the map."
Q_GWWBK_CANNOT_DIE,"Splig cannot suffer ≥ or be defeated while a master Goblin Archer is on the map."
Q_GWWBK_LOSE,"[i]Splig waddles forward, the horde of goblins bowing as he passes. For the first time, you see something other than madness in those eyes: a darkness both sinister and cruel. Splig, king of all goblins, tastes a new kind of power as he stands over your broken bodies. He draws a sword and chuckles to himself, prepared to conclude his coronation with blood. ""Stupid heroes,"" he growls, ""foolish, stupid heroes."" He pauses, his wicked grin growing even larger.\n\n""Fools…"""
Q_GWWBK_WIN,"[i]""Not again!"" Splig screams. ""How many times must I be foiled? How many ages must I wait?"" He whips his club toward your heads. You duck to the side, but in that moment, Splig sprints for the exit. By the time you rush from his fortress, he is nothing but a speck disappearing over a far hill. Although someday you hope to terminate his ambitions permanently, for now it is enough that the tribes have been scattered and that Splig , King of All Goblins, is vanquished.[/i]\n\nYou win!"

//Quest: Enemy of My Enemy
Q_EOME_MAP,"[u]Enemy of My Enemy[/u]\n\n[i]The settlement of Evenshire has requested aid, but the mages that responded first have only taken advantage of their weakened state."
Q_EOME_INFO,"[i]A few weeks ago, the small settlement of Evenshire sent out a request for aid. Orcs and goblins were harassing their fledgling defenses, and they needed outside assistance. Unfortunately, the mages they hired took advantage of the settlement's weakness instead of mending it. The budding community has turned into a prison camp and forward base for evil; it requires the aid of true heroes.[/i]"
Q_EOME_ALL_TILES,"Set aside tiles 4, 6, 7, 9, 13, 14, and 23."
Q_EOME_SETUP_1,"[i]The settlement rests silently upon a low hill above you. In the gloom of first light, you slink through the brush and unharvested fields, entering the small graveyard before meeting any resistance. There in the mists and shadows, silent guardians await.[/i]"
Q_EOME_OBJECTIVE_1,"Locate the treacherous mages."
Q_EOME_OBJECTIVE_2,"Locate the star-shaped key."
Q_EOME_OBJECTIVE_3,"Enter the temple."
Q_EOME_OBJECTIVE_4,"Defeat Gharik"
Q_EOME_MONSTER_PLACEMENT_WAGON,"Place the {0} group on 9A."
Q_EOME_MONSTER_PLACEMENT_WEB,"Place the {0} group on 7A."
Q_EOME_MONSTER_PLACEMENT_LOCKED,"Place the {0} group on 4A."
Q_EOME_START,"Place 9A, 14A, and 1 Entrance. Place the heroes on the Entrance."
Q_EOME_BODIES,"[i]Two giant mounds of bodies block your advance to either side. The majority are orcs—these must be invaders that the mages cleared out. At least you won't have to worry about that after retaking the town…[/i]\n\nPlace 4 objective tokens as shown. These are piles of bodies. As an action, a hero adjacent to a pile of bodies can test ∂ to clear the path."
Q_EOME_BODIES_INTERACT,"As an action, an adjacent hero can test ∂ to clear a path through the bodies."
Q_EOME_BODIES_INTERACT_PASS,"[i]The pile topples forward, allowing you to pass through.[/i]\n\nDiscard this objective token and the adjacent objective token."
Q_EOME_BODIES_FAIL_WILLPOWER,"[i]You struggle to dislodge the bodies. Pushing with all your might, you slip and sink into the mass.[/i]\n\nTest π."
Q_EOME_BODIES_FAIL_WILLPOWER_FAIL,"[i]The slime and stench of the rotting corpses is overpowering, but you finally manage to emerge from the far side.[/i]\n\nYou are Diseased and Poisoned. Discard this objective token and the adjacent objective token."
Q_EOME_BODIES_FAIL_WILLPOWER_PASS,"[i]Undeterred by the slime that oozes across your flesh, you push through to the far side.[/i]\n\nDiscard this objective token and the adjacent objective token."
Q_EOME_BODIES_FAIL_AWARENESS,"[i]You shove the bodies aside, but as you near the far end, you are no longer able to hold them back![/i]\n\nTest μ."
Q_EOME_BODIES_FAIL_AWARENESS_FAIL,"[i]You fail to dodge the avalanche of rotting dead, but at least the path is clear now.[/i]\n\nSuffer 4 ≥. Discard this objective token and the adjacent objective token."
Q_EOME_BODIES_FAIL_AWARENESS_PASS,"[i]You leap to the side as the avalanche of rotting dead topples down around you.[/i]\n\nDiscard this objective token and the adjacent objective token."
Q_EOME_PATH,"Place 7A, 13A, 23A, and 2 doors."
Q_EOME_PATH_MESSAGE,"[i]To your left stands a worn hovel, its walls and doors scorched and beaten. The small cottage to your right seems far less contested; perhaps it has gone unnoticed. The door stands slightly ajar.[/i]"
Q_EOME_INFESTED,"Place 1 end cap."
Q_EOME_INFESTED_AWARENESS,"[i]You ease the door open, peering cautiously inside…[/i]\n\nTest μ."
Q_EOME_INFESTED_AWARENESS_PASS,"[i]As the door creaks open, you notice several dozen eyes watching you from the shadows.[/i]"
Q_EOME_INFESTED_AWARENESS_FAIL,"[i]A sticky web wraps itself around your arm as you push the door open.[/i]\n\nYou are Immobilized."
Q_EOME_HIDEOUT,"Place 25A and 1 end cap."
Q_EOME_HIDEOUT_GOBLINS,"[i]You kick the door in, and it breaks from its hinges. The goblins inside go wide-eyed and stumble away from you.[/i]\n\nPlace Goblin Archers as shown."
Q_EOME_GOBLIN_REINFORCE,"Place 1 Goblin Archer."
Q_EOME_DEFENSE,"Place 4A, 1 transition, and 1 locked door."
Q_EOME_DEFENSE_MESSAGE,"[i]Just past this courtyard, a battered temple stands defiant against the many recent attacks it has suffered. Unfortunately the scowling faces that peer at you from the boarded windows lead you to believe that it is not the village's inhabitants that are holed up inside. Regardless, you will have to deal with the mages' guards first…[/i]"
Q_EOME_TEMPLE,"Place 6B and 1 end cap."
Q_EOME_TEMPLE_LOCKED_DOOR,"[i]This large, stone door is sealed shut. At its center is a golden, star-shaped pocket.[/i]\n\nYou can open this door with an ""Open Door"" action."
Q_EOME_TEMPLE_LOCKED_DOOR_KEY,"[i]This large, stone door is sealed shut. At its center is a golden, star-shaped pocket.[/i]\n\nThis door cannot be opened without a key."
Q_EOME_TEMPLE_MESSAGE,"[i]A small group of mages awaits you inside. Their stance is confident and composed, yet ready to engage you in an instant. Gharik, their leader, smirks when he sees you."" I see that we're not the only poor choice of help this town has hired,"" he mocks. Protected by some enchantment, his figure ripples and shifts before you.[/i]"
Q_EOME_GHARIK,"Gharik"
Q_EOME_GHARIK_SETUP,"Place the {0} group on 6B.\n\nThe master {0} is Gharik. Gharik has bonus Health. Each attack that targets Gharik requires 2 additional Range beyond the normally required amount for each {0} on the map."
Q_EOME_GHARIK_RULES,"Gharik has bonus Health.\n\nEach attack that targets Gharik requires 2 additional Range beyond the normally required amount for each monster in Gharik's group on the map."
Q_EOME_ZOMBIES_3,"Place 1 zombie in the indicated space on 14A."
Q_EOME_ZOMBIES_4,"Place 2 zombies in the indicated spaces on 14A."
Q_EOME_SEARCH_1,"[i]An orc crawled a short distance away from the pile before finally expiring.[/i]"
Q_EOME_SEARCH_2,"[i]A small chest stuffed beneath a moldy bed.[/i]"
Q_EOME_SEARCH_3,"[i]A pot on the top shelf is obscured by a few books, its lid slightly askew.[/i]"
Q_EOME_SEARCH_4,"[i]One of the mages is tied to a chair, passed out from the interrogation.[/i]"
Q_EOME_SEARCH_4_FIND,"[i]You pull a star-shaped stone from the man's left boot. It hangs from a simple, iron chain, appears to be made of marble, and its intricate design leads you to believe it is some kind of key.[/i] \n\nDiscard this token. You are carrying a star-shaped key."
Q_EOME_SEARCH_4_GUARDS,"[i]The mages appear to be unhappy with your progress and have sent a patrol to reacquire the key![/i]\n\nPlace the {0} group."
Q_EOME_SEARCH_5,"[i]Scraps from last night's dinner have been tossed into the weeds.[/i]"
Q_EOME_SEARCH_6,"[i]One of the stones in this wall is clearly marked.[/i]"
Q_EOME_SEARCH_7,"[i]The offering plates are tucked away in an alcove.[/i]"
Q_EOME_GHARIK_WIN,"[i]As the vile mage collapses to the floor, you know you've won the fight, though the battle is far from over. You spend the next couple of hours clearing out the other buildings and surrounding forest. Just after nightfall, you sound the all clear. Even with all your work, it will be many months before the settlement is anywhere close to what it was before the attacks. Even so, your job is done here.[/i]\n\nYou win!"
Q_EOME_LOSE,"[i]A figure cloaked in shadow stands over your body. As more figures approach, you attempt to retake your feet, but you are kicked back to the ground. ""Stay down,"" the leader hisses. He draws a curved knife from his cloak and bends over your body.\n\nA smooth stone cracks against his skull, knocking him sideways. He remains on his feet, but the shadowy cloak falters. In a rush of footsteps and clash of iron, the last resistance of the small village emerges from the brush. You remain awake long enough to witness them overpower the sorcerers. For the next two days, they nurse you back to health, thankful for the ""distraction"" you provided."

//Quest: Lair of Tekaris
Q_LOT_MAP,"[u]Lair of Tekaris[/u]\n\n[i]Castle Barathoal has been requisitioned by an Ynfernael fiend, a master of misery and the elements."
Q_LOT_INFO,"[i]Once a beautiful palace, Castle Barathoal has been abandoned and desolate for a few years now. The superstitious local townsfolk claim that the castle's lord made a promise to a demon that he could not fulfill, and the price he ultimately paid was the forfeiture of his lands and stronghold.\n\nThough previously believed to be only rumors, the storms that gather over the land have generated renewed concern. Assuming the worst, you ascend the low hills just within the border, heading to cleanse and retake the castle from whatever ill entities have taken up residence there.[/i]"
Q_LOT_ALL_TILES,"Set aside tiles 1, 3, 7, 8, 13, 14, 16, and 23."
Q_LOT_INTRO_TILES,"Place 7A, 3A, 1 Entrance, 1 end cap, 1 transition, and 1 door. Place the heroes on the Entrance."
Q_LOT_INTRO_1,"[i]Dark clouds cover the sky as you approach and a sprinkle of rain patters through the trees around you. The gray river that churns lazily to your right reflects flashes of lightning. An ominous storm is quickly approaching and you feel particularly uneasy about the shape of the clouds. It would be ideal if you could find shelter quickly."
Q_LOT_OBJECTIVE_1,"Enter the castle."
Q_LOT_OBJECTIVE_2,"Discover the source of the dark elements."
Q_LOT_OBJECTIVE_3,"Locate and use the key."
Q_LOT_OBJECTIVE_4,"Defeat Tekaris."
Q_LOT_INTRODOORQUESTION, "[i]In one of the castle's outlying buildings, you spot several figures moving about. Maybe they would be willing to offer you some shelter from the storm…[/i]\n\n1 hero tests μ or ∑."
Q_LOT_PEACEFULZOMBIES,"[i]You rap lightly on the door. The rain falls faster as you wait, then the door creaks timidly as someone eases it open from inside. Unfortunately, they do not offer you the welcome you had been hoping for.[/i]\n\nPlace zombies as shown, ignoring group limits."
Q_LOT_FORCEFULZOMBIES,"[i]The motion of the inhabitants appears slow and confused. You've seen this kind of behavior before…\n\nWith a violent blow, you burst through the door as if it were wet paper. Your intuition proves true—only the dead inhabit this room.[/i]\n\nPlace zombies as shown, ignoring group limits.\n\nEach zombie is Stunned."
Q_LOT_OTHERS, "{0}"
Q_LOT_INTRO_OTHERS,"Place {0} as shown, ignoring group limits."
Q_LOT_OPEN_INTRO,"Place the {0} group on 3A."
Q_LOT_ENTRYWAY_TILES,"[i]Glad to be out of the downpour, you barge headlong into the entryway of the castle.[/i]\n\nPlace 13B, 23B, 1 end cap, and 1 door."
Q_LOT_ENTRYWAY_BARGHESTS,"[i]A stench permeates this room, and more than the typical ""wet dog"" smell. You hear the click of large claws prowling closer.[/i]\n\nPlace Barghests as shown, ignoring group limits."
Q_LOT_ENTRYWAY_OTHERS,"Place the {0} group on 13B."
Q_LOT_INTERSECTION_TILES,"Place 14B, 16B, 2 end caps, and 1 locked door."
Q_LOT_STUDY_TILES,"[i]What was once a quaint private study room is now a smashed ruin filled with scraps of books, paper, and wood. [/i]\n\nPlace 14B and 1 end cap. "
Q_LOT_SEARCH_STUDY,"[i]Under one of the bookshelves lies the crushed body of a robed man, a large key clasped in his hand.[/i]"
Q_LOT_SEARCH_STUDY_FIND,"The heroes can now open the locked door."
Q_LOT_STUDY_ETTINS,"[i]The cramped nature of this small study feels even tighter given the presence of the paunchy ettin lounging amongst piles of crushed books and shelves.[/i]\n\nPlace Ettins as shown, ignoring group limits."
Q_LOT_LOCKED_DOOR,"[i]Beyond this grand set of doors, you hear the rush and rumble of the elements. Tekaris is near, but unfortunately, the door is locked.[/i]"
Q_LOT_LOCKDOOROPEN, "You can open this door with an ""Open Door"" action."
Q_LOT_FINAL_TILES,"[i]With a twist of the key, the locked door flings open with more force than you applied. Is someone expecting you?[/i]\n\nPlace 8B, 1B, 1 extension, and 2 end caps."
Q_LOT_FINAL_PORTALS,"[i]More dark onyx doorways stand open on both sides of Tekaris. Beyond the portals, a host of his servants presses toward you, eager to assist their master.[/i]\n\nPlace objective tokens as shown. These are onyx doors.\n\nA hero adjacent to an onyx door can perform a ""Close Door"" action to close it."
Q_LOT_FINAL_TEKARIS,"[i]A swirling mass of chaos fills the great hall. Sensing your presence, it turns suddenly and bellows an earth-rattling command: ""Come to me, mortal! The very elements of this world bow before my will! Now you, too, shall pay homage!""[/i]\n\nPlace 1 master elemental as shown, ignoring group limits. This is the demon Tekaris.\n\n{0}"
Q_LOT_TEKARIS,"Tekaris"
Q_LOT_GUARDS,"{0}"
Q_LOT_FINAL_GUARDS,"Place the {0} group on 8B."
Q_LOT_FINAL_MOREDOGS, "[i]Another hound emerges from somewhere down the hall.[/i]\n\n Place Barghests as shown, ignoring group limits."
Q_LOT_TEKARIS_RULES,"Tekaris has bonus Health.\n\nAt the end of each round, Tekaris recovers ≥ for each of his servants on the map; if Tekaris would recover ≥ in excess of his Health, each hero suffers ≥ equal to the excess ≥ that would be recovered."
Q_LOT_TEKARIS_HEAL,"[i]Tendrils of flame extend from Tekaris and lap at the flesh of his followers.[/i]\n\nEach {0} suffers 1 ≥ and Tekaris recovers ≥ equal to the total ≥ suffered by the {0}. If Tekaris would recover ≥ in excess of his Health, each hero suffers ≥ equal to the excess ≥ that would be recovered."
Q_LOT_TEKARIS_DEATH,"[i]The floor beneath Tekaris splits wide open, and you leap to the side to avoid falling in. A powerful gale converges on Tekaris, sweeping in from every direction. The demon claws at the floor with his long metallic fingers, but the ground crumbles around him too quickly, and he is swept down into darkness![/i]\n\nYou win!"
Q_LOT_AIR,"[i]From both nowhere and everywhere at once, you hear a god-like voice bellowing the simple word ""Wind!"" A blast of air tears down the passage toward you, whipping debris and dust into the air.[/i]\n\nEach hero tests ∂. Each hero who fails moves 2 spaces toward the entrance."
Q_LOT_EARTH,"[i]From both nowhere and everywhere at once, you hear a god-like voice bellowing the simple word ""Stone!"" The floor beneath your feet ruptures and a maw-like opening attempts to swallow one of your group.[/i]\n\nThe hero farthest from the Entrance tests μ. If he fails, he suffers 2 ≥ and is Immobilized."
Q_LOT_WATER,"[i]From both nowhere and everywhere at once, you hear a god-like voice bellowing the simple word ""Water!"" The ground splits in front of you and a wave of water the width of the room sweeps forward. Then it curls upward, back, and down, folding in on itself just before it crashes into you, a giant, violent wave.[/i]\n\nEach hero must choose to tests π or suffer 1 ∏. Each hero who fails suffers 3 ≥."
Q_LOT_FIRE,"[i]From both nowhere and everywhere at once, you hear a god-like voice bellowing the simple word ""Fire!"" Your skin grows painfully warm and emits an amber glow.[/i]\n\nEach hero tests ∑. Each hero who fails suffers 1 ≥."
